Filename,Detected Circles,Expected Circles,Correct Match
Augmented_1_006-004-a-019-year11rabbit.png,3,11,False
Augmented_2_006-004-a-019-year11rabbit.png,3,11,False
Augmented_3_006-004-a-019-year11rabbit.png,2,11,False
Augmented_4_006-004-a-019-year11rabbit.png,3,11,False
Augmented_5_006-004-a-019-year11rabbit.png,2,11,False
Augmented_1_034-026-a-124-year1flint.png,3,1,False
Augmented_2_034-026-a-124-year1flint.png,3,1,False
Augmented_3_034-026-a-124-year1flint.png,3,1,False
Augmented_4_034-026-a-124-year1flint.png,4,1,False
Augmented_5_034-026-a-124-year1flint.png,3,1,False
Augmented_1_030-021-a-115-year5reed.png,2,5,False
Augmented_2_030-021-a-115-year5reed.png,2,5,False
Augmented_3_030-021-a-115-year5reed.png,4,5,False
Augmented_4_030-021-a-115-year5reed.png,2,5,False
Augmented_5_030-021-a-115-year5reed.png,4,5,False
Augmented_1_027-019-a-102-year3reed.png,1,3,False
Augmented_2_027-019-a-102-year3reed.png,1,3,False
Augmented_3_027-019-a-102-year3reed.png,1,3,False
Augmented_4_027-019-a-102-year3reed.png,2,3,False
Augmented_5_027-019-a-102-year3reed.png,2,3,False
Augmented_1_002-001-a-003-year3reed.png,5,3,False
Augmented_2_002-001-a-003-year3reed.png,5,3,False
Augmented_3_002-001-a-003-year3reed.png,4,3,False
Augmented_4_002-001-a-003-year3reed.png,4,3,False
Augmented_5_002-001-a-003-year3reed.png,4,3,False
Augmented_1_005-004-a-016-year9house.png,7,9,False
Augmented_2_005-004-a-016-year9house.png,7,9,False
Augmented_3_005-004-a-016-year9house.png,5,9,False
Augmented_4_005-004-a-016-year9house.png,5,9,False
Augmented_5_005-004-a-016-year9house.png,8,9,False
Augmented_1_015-012-a-053-year10reed.png,1,10,False
Augmented_2_015-012-a-053-year10reed.png,1,10,False
Augmented_3_015-012-a-053-year10reed.png,2,10,False
Augmented_4_015-012-a-053-year10reed.png,1,10,False
Augmented_5_015-012-a-053-year10reed.png,1,10,False
