file_name,codex,gender,main,quality,seated
001-a-01.png,codex_selden,female,yes,a,yes
001-b-02.png,codex_selden,female,yes,b,yes
001-b-03.png,codex_selden,female,yes,b,yes
001-b-04.png,codex_selden,female,yes,b,yes
001-b-05.png,codex_selden,female,yes,b,yes
001-b-06.png,codex_selden,female,yes,b,yes
001-b-07.png,codex_selden,female,yes,b,yes
001-b-10.png,codex_selden,male,yes,b,yes
001-b-11.png,codex_selden,female,yes,b,yes
002-b-04.png,codex_selden,female,yes,b,yes
002-b-06.png,codex_selden,female,yes,b,yes
002-b-07.png,codex_selden,female,yes,b,yes
002-b-08.png,codex_selden,female,yes,b,yes
002-b-09.png,codex_selden,female,yes,b,yes
002-b-10.png,codex_selden,female,yes,b,yes
002-b-11.png,codex_selden,female,yes,b,yes
002-b-12.png,codex_selden,female,yes,b,yes
002-c-01.png,codex_selden,female,yes,c,yes
002-c-02.png,codex_selden,female,yes,c,yes
002-c-03.png,codex_selden,female,yes,c,yes
002-c-05.png,codex_selden,female,yes,b,yes
003-a-05.png,codex_selden,female,yes,a,yes
003-a-06.png,codex_selden,female,yes,a,yes
003-a-07.png,codex_selden,female,yes,a,yes
003-a-08.png,codex_selden,female,yes,a,yes
003-a-10.png,codex_selden,female,yes,a,yes
003-a-12.png,codex_selden,female,yes,a,yes
003-a-13.png,codex_selden,female,yes,a,yes
003-a-14.png,codex_selden,female,yes,a,yes
003-a-15.png,codex_selden,female,yes,a,yes
003-a-16.png,codex_selden,female,yes,a,yes
003-a-17.png,codex_selden,female,yes,a,yes
003-a-18.png,codex_selden,female,yes,a,yes
003-a-19.png,codex_selden,female,yes,a,yes
003-b-01.png,codex_selden,female,yes,b,yes
003-b-02.png,codex_selden,female,yes,b,yes
003-b-03.png,codex_selden,female,yes,b,yes
003-b-04.png,codex_selden,female,yes,b,yes
003-b-09.png,codex_selden,female,yes,b,yes
003-b-11.png,codex_selden,female,yes,b,yes
004-a-01.png,codex_selden,female,yes,a,yes
004-a-02.png,codex_selden,female,yes,a,yes
004-a-03.png,codex_selden,female,yes,a,yes
